,Macrophage,B_cell,T_cell,Myoepithelial,Endothelial,Tumor,min_CV
YY1AP1,1.768971230858654,1.6919906678582413,1.7273031581379084,1.6720943879727748,1.7074945573500437,1.1132300095021745,1.1132300095021745
PUM1,2.0142007918489657,1.827906811667413,1.9429694434497047,1.7925650921024294,1.9230578470996988,1.1140414809093027,1.1140414809093027
SLC39A6,2.046475079636195,1.7956844958462024,1.9921826840163355,1.5755646138851096,2.4089974698564407,1.1202306904810089,1.1202306904810089
PLVAP,4.189320529644815,4.494847204597977,4.916029863887224,3.505329756960958,1.120788337464383,5.234260055556647,1.120788337464383
FOXC1,2.7410129316863086,2.2719157541298305,2.4243870658281095,2.366020993025758,2.555214506684676,1.121796580466542,1.121796580466542
MYC,2.309678421922409,1.8747895676319153,2.0743377637412497,1.8862961088417065,2.210436617245378,1.1233182553930023,1.1233182553930023
KIT,2.875217806858529,2.047587939349466,2.2622463341345216,2.2547529616212922,3.944294484058567,1.13712980440942,1.13712980440942
CXCR4,1.7365891072189128,1.6095425315707863,1.5944450426460457,2.3114066139869114,2.0877600371103076,1.1382912027209353,1.1382912027209353
SCGB2A2,2.878849262608823,2.240500687294517,2.6328884508475543,2.8837856624091445,4.475962735526606,1.1383654618801204,1.1383654618801204
LAMA4,1.9459852654946121,1.75808935745712,1.9847103613518333,1.5679242477339876,1.1398024328931295,1.7071402573052494,1.1398024328931295
BIRC5,2.68217774490622,2.1591310848190153,2.502977782259577,2.574705660802479,3.5410660112460817,1.1554306732198139,1.1554306732198139
IGFBP5,1.897750416994709,1.7364348998680175,1.9096056683416753,1.2623811543399888,1.1627476441696565,1.6842448770023741,1.1627476441696565
SLC40A1,1.1731665632284725,1.2860285108650846,1.5377629365397447,1.2669551448918235,1.3300076181309723,1.2268666986127732,1.1731665632284725
ACTR3B,2.716633254991333,1.956502314128435,2.1521205470536366,2.3231426811880524,3.089565966690339,1.18769671774926,1.18769671774926
C1R,1.4715027108656056,1.485522303651848,1.5846725394998449,1.1899901250991969,1.3382423650554374,1.9762128881355339,1.1899901250991969
CCSER2,1.7257747176759257,1.7322438907572326,1.6391181890871913,1.555228250948752,1.5178532384483827,1.1903833321717003,1.1903833321717003
CDK5RAP3,1.8238369565278212,1.7983734052767981,1.8514700740302243,1.714132159356622,1.7887105176261322,1.1981472259489592,1.1981472259489592
TYMS,2.6535455215479815,2.255198671088607,2.566919880952957,2.5052028425432726,3.0379254376893483,1.234523643583714,1.234523643583714
CD8A,3.529701039148111,6.301895028074449,1.2423306634060618,7.772557769278919,5.099122478102583,5.80199355403873,1.2423306634060618
PDGFRB,2.0059456353602827,2.1623438433151896,2.6172943354067195,1.549935383321716,1.2555963245055528,5.053125362029084,1.2555963245055528
GASK1B,1.7929292141125266,2.5566214600161707,2.847545258960907,1.5854311095952902,1.2611898894087779,4.167282210711805,1.2611898894087779
MMP14,1.4092204604568075,1.655493667727687,1.8594874340411107,1.3252229940475626,1.3000910108010655,1.5356428978558148,1.3000910108010655
OPRPN,2.719049304749546,2.291513262447596,2.675884527467538,2.7826763712426197,4.714142892130177,1.3012264283720727,1.3012264283720727
CCDC80,1.608533368744182,1.6584266073820093,1.6991899656763012,1.4947470307532034,1.316539015500596,4.550280644068639,1.316539015500596
CDH3,2.857510258979412,2.3870639379522682,2.5883898160690535,1.9359062631663002,4.120296741417949,1.3194041140273542,1.3194041140273542
MYBL2,3.006387370977155,2.5039299087478653,2.7799550642048456,2.7872366629143697,3.784683580891112,1.326849000166032,1.326849000166032
IL1R1,1.6832382940882156,1.7516655068537286,1.872136632004598,1.5344960161735393,1.3294037842150295,2.128666647234785,1.3294037842150295
FLT1,4.24617700069406,4.862252612847413,5.288412196816893,3.415600039947004,1.3386218387096558,5.238689058821157,1.3386218387096558
TFRC,2.1781314347013776,2.174735923962429,2.234839007712904,2.250542182364585,2.804537132015417,1.3390014877331442,1.3390014877331442
DKC1,2.7378941291209413,2.3265521799908475,2.4623783404678776,2.5274883784650455,3.0806797889018274,1.344703135340486,1.344703135340486
TOP2A,2.900199816429337,2.499367687067911,2.766431784142122,2.8558329419470447,3.7097941060251616,1.3454898654674792,1.3454898654674792
HMGB2,2.289115826213738,2.2884043899916726,2.2627058549805175,2.308785662303497,2.5026149180489248,1.3528814012305643,1.3528814012305643
FASN,2.9667233796521897,2.418222343579981,2.599198626410822,2.5716968693489974,3.6140881806654175,1.358727074131411,1.358727074131411
CLEC14A,5.59494698241513,5.543698412137068,7.452459690159025,4.990049037456126,1.3593844901306613,6.793462271378421,1.3593844901306613
KRT23,3.0127351461065492,2.7404957179794076,2.841146099819654,2.75602741730472,4.585633428481746,1.3614824436976185,1.3614824436976185
NEO1,2.677214123829131,2.2400025776598915,2.4317989346120803,1.9939485152646257,3.0742885726007607,1.369537430881002,1.369537430881002
ERBB2,2.9518862856267685,2.3045842898220035,2.5676046288559133,2.239876975940243,3.5386958675301283,1.3768191259930154,1.3768191259930154
SEMA3C,2.5756038939969854,2.38546007394597,2.610433040142258,1.3853856192090737,3.5256374136882833,1.9638519884912633,1.3853856192090737
MDM2,1.7535109939654587,1.8403501229668116,1.8942562224851747,1.5942328080694388,1.6497257838447645,1.3891205788224694,1.3891205788224694
TRAF4,2.88627555458231,2.290977649992119,2.484772605261305,2.3086535770787355,2.885893671728659,1.3936413963975145,1.3936413963975145
BAG1,2.2241567902071337,2.1613781800700425,2.2724116772181233,1.9540221935927393,2.06834554151832,1.3978578031522146,1.3978578031522146
SLC2A1,3.0491741927179232,2.3734089250052857,2.55078254954171,2.880348687595475,3.9044358953251854,1.4137164847368073,1.4137164847368073
LIFR,2.861282245314627,2.2217452177115775,2.4308012803081573,2.2155627078743674,1.7883473830933148,1.4137645980347127,1.4137645980347127
TLN1,1.7109695563033125,2.060413800982262,1.8936285856365,1.601935930808198,1.4265120649301832,1.8537469890463454,1.4265120649301832
WFDC2,3.7664843224780604,2.6110153508904417,2.9041632550253835,2.6175471022394508,4.865117485053391,1.4564350116629379,1.4564350116629379
POLR2A,1.8499259567496211,1.8967471940348153,1.9527129218628896,1.6696739246909902,1.4838038241325662,1.5857272975377028,1.4838038241325662
KRT5,4.928348142103643,8.075907008250583,6.207844387306604,1.485280997801327,5.870285507334778,3.5424447252844047,1.485280997801327
KRT14,4.185318357231371,6.814930501875448,4.29129994803202,1.48538612092026,5.5828586514546386,2.3851709825986718,1.48538612092026
CD163,1.4876324931121525,3.9812268920017937,3.7918805532291664,4.53250978146609,3.4635428148106215,6.741806535005241,1.4876324931121525
FBLN1,1.6385521597022084,1.589755860700097,1.6997365945921266,1.4964474126798535,1.8507953024668837,1.94044908533821,1.4964474126798535
